,text,label,text_token,text_string,text_string_fdist,text_string_lem
1288,overall i rate this movie a 10 out of a 1-10 scale  ,1,"['overall', 'rate', 'movie', '10', '1', '10', 'scale']",overall rate movie scale,overall rate movie scale,overall rate movie scale
1289,lifetime does not air it enough so if anyone knows what store sells it let me know because this is a must-have  ,1,"['lifetime', 'air', 'enough', 'anyone', 'knows', 'store', 'sells', 'let', 'know', 'must']",lifetime air enough anyone knows store sells let know must,lifetime air enough anyone knows store sells let know must,lifetime air enough anyone knows store sells let know must
1290,i particularly remember my senses being assaulted by strident cords of music that would blare out with very little warning and even less meaning  ,0,"['particularly', 'remember', 'senses', 'assaulted', 'strident', 'cords', 'music', 'would', 'blare', 'little', 'warning', 'even', 'less', 'meaning']",particularly remember senses assaulted strident cords music would blare little warning even less meaning,particularly remember senses assaulted strident cords music would blare little warning even less meaning,particularly remember senses assaulted strident cords music would blare little warning even less meaning
1291,it is just the sort of pap that is screened in the afternoon to punish the unemployed for not having jobs  ,0,"['sort', 'pap', 'screened', 'afternoon', 'punish', 'unemployed', 'jobs']",sort pap screened afternoon punish unemployed jobs,sort pap screened afternoon punish unemployed jobs,sort pap screened afternoon punish unemployed jobs
1292,totally different with loads of understatement and black comedy this is a film few get to see but those who do will remember it  ,1,"['totally', 'different', 'loads', 'understatement', 'black', 'comedy', 'film', 'get', 'see', 'remember']",totally different loads understatement black comedy film get see remember,totally different loads understatement black comedy film get see remember,totally different loads understatement black comedy film get see remember
1293,this movie creates its own universe and is fascinating in every way  ,1,"['movie', 'creates', 'universe', 'fascinating', 'every', 'way']",movie creates universe fascinating every way,movie creates universe fascinating every way,movie creates universe fascinating every way
1294,but this movie really got to me  ,1,"['movie', 'really', 'got']",movie really got,movie really got,movie really got
1295,see it  ,1,['see'],see,see,see
1296,i really hope the team behind this movie makes more movies and that they will continue to do so in their own some kinda weird style  ,1,"['really', 'hope', 'team', 'behind', 'movie', 'makes', 'movies', 'continue', 'kinda', 'weird', 'style']",really hope team behind movie makes movies continue kinda weird style,really hope team behind movie makes movies continue kinda weird style,really hope team behind movie makes movies continue kinda weird style
1297,and i forgot the casting here i superb with trond fausa aurvåg being perfect in the role as the bothersome man who doesn't understand where he is what he is doing and why  ,1,"['forgot', 'casting', 'superb', 'trond', 'fausa', 'aurvåg', 'perfect', 'role', 'bothersome', 'man', 'understand']",forgot casting superb trond fausa aurvåg perfect role bothersome man understand,forgot casting superb trond fausa aurvåg perfect role bothersome man understand,forgot casting superb trond fausa aurvåg perfect role bothersome man understand
1298,this movie is a good and humorous comment on life in 2006  ,1,"['movie', 'good', 'humorous', 'comment', 'life', '2006']",movie good humorous comment life 2006,movie good humorous comment life 2006,movie good humorous comment life 2006
1299,i found this move beautiful enjoyable and uplifting  ,1,"['found', 'move', 'beautiful', 'enjoyable', 'uplifting']",found move beautiful enjoyable uplifting,found move beautiful enjoyable uplifting,found move beautiful enjoyable uplifting
1300,initially the local sites in the film which was filmed here in buffalo intrigued me  ,1,"['initially', 'local', 'sites', 'film', 'filmed', 'buffalo', 'intrigued']",initially local sites film filmed buffalo intrigued,initially local sites film filmed buffalo intrigued,initially local sites film filmed buffalo intrigued
1301,later i found myself lost in the power of the film  ,1,"['later', 'found', 'lost', 'power', 'film']",later found lost power film,later found lost power film,later found lost power film
1302,the entire audience applauded at the conclusion of the film  ,1,"['entire', 'audience', 'applauded', 'conclusion', 'film']",entire audience applauded conclusion film,entire audience applauded conclusion film,entire audience applauded conclusion film
1303,i left the theater with a lilt in my step joy in my heart and hope for the human race  ,1,"['left', 'theater', 'lilt', 'step', 'joy', 'heart', 'hope', 'human', 'race']",left theater lilt step joy heart hope human race,left theater lilt step joy heart hope human race,left theater lilt step joy heart hope human race
1304,duris has a wholesome appearance and gives a fine performance  ,1,"['duris', 'wholesome', 'appearance', 'gives', 'fine', 'performance']",duris wholesome appearance gives fine performance,duris wholesome appearance gives fine performance,duris wholesome appearance gives fine performance
1305,the rest of the cast also play well  ,1,"['rest', 'cast', 'also', 'play', 'well']",rest cast also play well,rest cast also play well,rest cast also play well
1306,cinematography noteworthy including fine views of barcelona and its famed gaudi towers  ,1,"['cinematography', 'noteworthy', 'including', 'fine', 'views', 'barcelona', 'famed', 'gaudi', 'towers']",cinematography noteworthy including fine views barcelona famed gaudi towers,cinematography noteworthy including fine views barcelona famed gaudi towers,cinematography noteworthy including fine views barcelona famed gaudi towers
1307,about ten minutes into this film i started having second thoughts  ,0,"['ten', 'minutes', 'film', 'started', 'second', 'thoughts']",ten minutes film started second thoughts,ten minutes film started second thoughts,ten minutes film started second thoughts
1308,about half way through this film i started to dislike it  ,0,"['half', 'way', 'film', 'started', 'dislike']",half way film started dislike,half way film started dislike,half way film started dislike
1309,by the time the film ended i not only disliked it i despised it  ,0,"['time', 'film', 'ended', 'disliked', 'despised']",time film ended disliked despised,time film ended disliked despised,time film ended disliked despised
1310,what this film lacks is a convincing script  ,0,"['film', 'lacks', 'convincing', 'script']",film lacks convincing script,film lacks convincing script,film lacks convincing script
1311,the script looks as if only a rough draft was written and shooting began before a finished script was completed  ,0,"['script', 'looks', 'rough', 'draft', 'written', 'shooting', 'began', 'finished', 'script', 'completed']",script looks rough draft written shooting began finished script completed,script looks rough draft written shooting began finished script completed,script looks rough draft written shooting began finished script completed
1312,things happen characters personalities change plot twists occur for no real reason other than that script calls for it  ,0,"['things', 'happen', 'characters', 'personalities', 'change', 'plot', 'twists', 'occur', 'real', 'reason', 'script', 'calls']",things happen characters personalities change plot twists occur real reason script calls,things happen characters personalities change plot twists occur real reason script calls,things happen characters personalities change plot twists occur real reason script calls
1313,the cast is good  ,1,"['cast', 'good']",cast good,cast good,cast good
1314,for that it's worth checking out  ,1,"['worth', 'checking']",worth checking,worth checking,worth checking
1315,this is probably the most irritating show i have ever seen in my entire life  ,0,"['probably', 'irritating', 'show', 'ever', 'seen', 'entire', 'life']",probably irritating show ever seen entire life,probably irritating show ever seen entire life,probably irritating show ever seen entire life
1316,it is indescribably the most annoying and idiotic show i have ever seen  ,0,"['indescribably', 'annoying', 'idiotic', 'show', 'ever', 'seen']",indescribably annoying idiotic show ever seen,indescribably annoying idiotic show ever seen,indescribably annoying idiotic show ever seen
1317,everything about it is just bad  ,0,"['everything', 'bad']",everything bad,everything bad,everything bad
1318,i could not understand what kind of idiot would produce this mess in the first place not to mention several season  ,0,"['could', 'understand', 'kind', 'idiot', 'would', 'produce', 'mess', 'first', 'place', 'mention', 'several', 'season']",could understand kind idiot would produce mess first place mention several season,could understand kind idiot would produce mess first place mention several season,could understand kind idiot would produce mess first place mention several season
1319,the script is bad very bad  it contains both cheesiness and unethical joke that you normally see in rated r or nc-17 movie  ,0,"['script', 'bad', 'bad', 'contains', 'cheesiness', 'unethical', 'joke', 'normally', 'see', 'rated', 'r', 'nc', '17', 'movie']",script bad bad contains cheesiness unethical joke normally see rated movie,script bad bad contains cheesiness unethical joke normally see rated movie,script bad bad contains cheesiness unethical joke normally see rated movie
1320,the casting is also horrible cause all you see is a really really bad actors period  ,0,"['casting', 'also', 'horrible', 'cause', 'see', 'really', 'really', 'bad', 'actors', 'period']",casting also horrible cause see really really bad actors period,casting also horrible cause see really really bad actors period,casting also horrible cause see really really bad actors period
1321,final word this show is a real torture  ,0,"['final', 'word', 'show', 'real', 'torture']",final word show real torture,final word show real torture,final word show real torture
1322,it is zillion times away from reality  ,0,"['zillion', 'times', 'away', 'reality']",zillion times away reality,zillion times away reality,zillion times away reality
1323,watching washing machine twirling around wouldn't hurt your eyes as much as this show  ,0,"['watching', 'washing', 'machine', 'twirling', 'around', 'hurt', 'eyes', 'much', 'show']",watching washing machine twirling around hurt eyes much show,watching washing machine twirling around hurt eyes much show,watching washing machine twirling around hurt eyes much show
1324,rating 0/10 (grade z) note the show is so bad that even mother of the cast pull her daughter out of the show  ,0,"['rating', '0', '10', 'grade', 'z', 'note', 'show', 'bad', 'even', 'mother', 'cast', 'pull', 'daughter', 'show']",rating grade note show bad even mother cast pull daughter show,rating grade note show bad even mother cast pull daughter show,rating grade note show bad even mother cast pull daughter show
1325,20th century fox's road house 1948) is not only quite a silly noir but is an implausible unmitigated bore of a movie  ,0,"['20th', 'century', 'fox', 'road', 'house', '1948', 'quite', 'silly', 'noir', 'implausible', 'unmitigated', 'bore', 'movie']",20th century fox road house 1948 quite silly noir implausible unmitigated bore movie,20th century fox road house 1948 quite silly noir implausible unmitigated bore movie,20th century fox road house 1948 quite silly noir implausible unmitigated bore movie
1326,full of unconvincing cardboard characters it is blandly written by edward chodorov who also produced and is surprisingly directed by jean negulesco from whom one would expect a great deal more  ,0,"['full', 'unconvincing', 'cardboard', 'characters', 'blandly', 'written', 'edward', 'chodorov', 'also', 'produced', 'surprisingly', 'directed', 'jean', 'negulesco', 'one', 'would', 'expect', 'great', 'deal']",full unconvincing cardboard characters blandly written edward chodorov also produced surprisingly directed jean negulesco one would expect great deal,full unconvincing cardboard characters blandly written edward chodorov also produced surprisingly directed jean negulesco one would expect great deal,full unconvincing cardboard characters blandly written edward chodorov also produced surprisingly directed jean negulesco one would expect great deal
1327,from here on the widmark character turns unintentionally comical  ,0,"['widmark', 'character', 'turns', 'unintentionally', 'comical']",widmark character turns unintentionally comical,widmark character turns unintentionally comical,widmark character turns unintentionally comical
1328,his losing his marbles so early in the proceedings is totally implausible and unconvincing  ,0,"['losing', 'marbles', 'early', 'proceedings', 'totally', 'implausible', 'unconvincing']",losing marbles early proceedings totally implausible unconvincing,losing marbles early proceedings totally implausible unconvincing,losing marbles early proceedings totally implausible unconvincing
1329,and if that isn't enough of a mess of a movie for you - the picture is also marred with a constant use of studio sets and indoor exteriors  ,0,"['enough', 'mess', 'movie', 'picture', 'also', 'marred', 'constant', 'use', 'studio', 'sets', 'indoor', 'exteriors']",enough mess movie picture also marred constant use studio sets indoor exteriors,enough mess movie picture also marred constant use studio sets indoor exteriors,enough mess movie picture also marred constant use studio sets indoor exteriors
1330,whatever prompted such a documentary is beyond me  ,0,"['whatever', 'prompted', 'documentary', 'beyond']",whatever prompted documentary beyond,whatever prompted documentary beyond,whatever prompted documentary beyond
1331,(very serious spoilers) this movie was a huge disappointment  ,0,"['serious', 'spoilers', 'movie', 'huge', 'disappointment']",serious spoilers movie huge disappointment,serious spoilers movie huge disappointment,serious spoilers movie huge disappointment
1332,there are so many problems i dont know where to start  ,0,"['many', 'problems', 'dont', 'know', 'start']",many problems dont know start,many problems dont know start,many problems dont know start
1333,the cast was great  ,1,"['cast', 'great']",cast great,cast great,cast great
1334,steve martin delivers a really funny performance of a middle-aged upper class uptight white guy  ,1,"['steve', 'martin', 'delivers', 'really', 'funny', 'performance', 'middle', 'aged', 'upper', 'class', 'uptight', 'white', 'guy']",steve martin delivers really funny performance middle aged upper class uptight white guy,steve martin delivers really funny performance middle aged upper class uptight white guy,steve martin delivers really funny performance middle aged upper class uptight white guy
1335,add betty white and jean smart and you have a great cast - everyone played their parts really well  ,1,"['add', 'betty', 'white', 'jean', 'smart', 'great', 'cast', 'everyone', 'played', 'parts', 'really', 'well']",add betty white jean smart great cast everyone played parts really well,add betty white jean smart great cast everyone played parts really well,add betty white jean smart great cast everyone played parts really well
1336,but the movie makes a lot of serious mistakes  ,0,"['movie', 'makes', 'lot', 'serious', 'mistakes']",movie makes lot serious mistakes,movie makes lot serious mistakes,movie makes lot serious mistakes
1337,first of all there are enough racial stereotypes and racial jokes to offend everyone  ,0,"['first', 'enough', 'racial', 'stereotypes', 'racial', 'jokes', 'offend', 'everyone']",first enough racial stereotypes racial jokes offend everyone,first enough racial stereotypes racial jokes offend everyone,first enough racial stereotypes racial jokes offend everyone
1338,the movie is littered with overt racial slurs towards the black cast members and in return the whites are depicted as morons and boobs  ,0,"['movie', 'littered', 'overt', 'racial', 'slurs', 'towards', 'black', 'cast', 'members', 'return', 'whites', 'depicted', 'morons', 'boobs']",movie littered overt racial slurs towards black cast members return whites depicted morons boobs,movie littered overt racial slurs towards black cast members return whites depicted morons boobs,movie littered overt racial slurs towards black cast members return whites depicted morons boobs
1339,putting the race card aside lets look at the major flaw in the film they destroy latifa's character  ,0,"['putting', 'race', 'card', 'aside', 'lets', 'look', 'major', 'flaw', 'film', 'destroy', 'latifa', 'character']",putting race card aside lets look major flaw film destroy latifa character,putting race card aside lets look major flaw film destroy latifa character,putting race card aside lets look major flaw film destroy latifa character
1340,there is no real plot  ,0,"['real', 'plot']",real plot,real plot,real plot
1341,i wouldnt see this movie again for free  ,0,"['wouldnt', 'see', 'movie', 'free']",wouldnt see movie free,wouldnt see movie free,wouldnt see movie free
1342,steamboat willie is an amazingly important film to our cinema history  ,1,"['steamboat', 'willie', 'amazingly', 'important', 'film', 'cinema', 'history']",steamboat willie amazingly important film cinema history,steamboat willie amazingly important film cinema history,steamboat willie amazingly important film cinema history
1343,this second appearance of mickey mouse (following the silent plane crazy earlier that year) is probably his most famous film--mostly because it was so ground-breaking  ,1,"['second', 'appearance', 'mickey', 'mouse', 'following', 'silent', 'plane', 'crazy', 'earlier', 'year', 'probably', 'famous', 'film', 'mostly', 'ground', 'breaking']",second appearance mickey mouse following silent plane crazy earlier year probably famous film mostly ground breaking,second appearance mickey mouse following silent plane crazy earlier year probably famous film mostly ground breaking,second appearance mickey mouse following silent plane crazy earlier year probably famous film mostly ground breaking
1344,while you don't yet hear mickey speak there are tons of sound effects and music throughout the film--something we take for granted now but which was a huge crowd pleaser in 1928  ,1,"['yet', 'hear', 'mickey', 'speak', 'tons', 'sound', 'effects', 'music', 'throughout', 'film', 'something', 'take', 'granted', 'huge', 'crowd', 'pleaser', '1928']",yet hear mickey speak tons sound effects music throughout film something take granted huge crowd pleaser 1928,yet hear mickey speak tons sound effects music throughout film something take granted huge crowd pleaser 1928,yet hear mickey speak tons sound effects music throughout film something take granted huge crowd pleaser 1928
1345,however after seeing the short again after about 25 years i was amazed at how timeless the film actually is  ,1,"['however', 'seeing', 'short', '25', 'years', 'amazed', 'timeless', 'film', 'actually']",however seeing short years amazed timeless film actually,however seeing short years amazed timeless film actually,however seeing short years amazed timeless film actually
1346,it's just adorable seeing mickey playing turkey in the straw in a highly imaginative (if occasionally cruel) way  ,1,"['adorable', 'seeing', 'mickey', 'playing', 'turkey', 'straw', 'highly', 'imaginative', 'occasionally', 'cruel', 'way']",adorable seeing mickey playing turkey straw highly imaginative occasionally cruel way,adorable seeing mickey playing turkey straw highly imaginative occasionally cruel way,adorable seeing mickey playing turkey straw highly imaginative occasionally cruel way
1347,clever and a real crowd-pleaser--this film still ranks among mickey's best films even after 80 wonderful years  ,1,"['clever', 'real', 'crowd', 'pleaser', 'film', 'still', 'ranks', 'among', 'mickey', 'best', 'films', 'even', '80', 'wonderful', 'years']",clever real crowd pleaser film still ranks among mickey best films even wonderful years,clever real crowd pleaser film still ranks among mickey best films even wonderful years,clever real crowd pleaser film still ranks among mickey best films even wonderful years
1348,the bipolarity of the ruthless thug (one minute a ruthless killer the next minute a luv's diaper commercial) is completely unconvincing  ,0,"['bipolarity', 'ruthless', 'thug', 'one', 'minute', 'ruthless', 'killer', 'next', 'minute', 'luv', 'diaper', 'commercial', 'completely', 'unconvincing']",bipolarity ruthless thug one minute ruthless killer next minute luv diaper commercial completely unconvincing,bipolarity ruthless thug one minute ruthless killer next minute luv diaper commercial completely unconvincing,bipolarity ruthless thug one minute ruthless killer next minute luv diaper commercial completely unconvincing
1349,i'm terribly disappointed that this film would receive so many awards and accolades especially when there are far more deserving works of film out there  ,0,"['terribly', 'disappointed', 'film', 'would', 'receive', 'many', 'awards', 'accolades', 'especially', 'far', 'deserving', 'works', 'film']",terribly disappointed film would receive many awards accolades especially far deserving works film,terribly disappointed film would receive many awards accolades especially far deserving works film,terribly disappointed film would receive many awards accolades especially far deserving works film
1350,the original body and soul (1947) is a masterpiece  ,1,"['original', 'body', 'soul', '1947', 'masterpiece']",original body soul 1947 masterpiece,original body soul 1947 masterpiece,original body soul 1947 masterpiece
1351,john garfield ann revere lilli plmer william conrad canada leeand filmed by one of the greatest cinematographers to ever grace the screenjames wong howe  ,1,"['john', 'garfield', 'ann', 'revere', 'lilli', 'plmer', 'william', 'conrad', 'canada', 'leeand', 'filmed', 'one', 'greatest', 'cinematographers', 'ever', 'grace', 'screenjames', 'wong', 'howe']",john garfield ann revere lilli plmer william conrad canada leeand filmed one greatest cinematographers ever grace screenjames wong howe,john garfield ann revere lilli plmer william conrad canada leeand filmed one greatest cinematographers ever grace screenjames wong howe,john garfield ann revere lilli plmer william conrad canada leeand filmed one greatest cinematographers ever grace screenjames wong howe
1352,i don't think there are any redeeming qualities in this remake  ,0,"['think', 'redeeming', 'qualities', 'remake']",think redeeming qualities remake,think redeeming qualities remake,think redeeming qualities remake
1353,this may be the only bad film he ever made  ,0,"['may', 'bad', 'film', 'ever', 'made']",may bad film ever made,may bad film ever made,may bad film ever made
1354,so badwellit's just bad  ,0,"['badwellit', 'bad']",badwellit bad,badwellit bad,badwellit bad
1355,this movie is a solid example of a bad plot and a very very bad idea all the way  ,0,"['movie', 'solid', 'example', 'bad', 'plot', 'bad', 'idea', 'way']",movie solid example bad plot bad idea way,movie solid example bad plot bad idea way,movie solid example bad plot bad idea way
1356,it's a shame to see good actors like thomerson and james make a living in a mess like this  ,0,"['shame', 'see', 'good', 'actors', 'like', 'thomerson', 'james', 'make', 'living', 'mess', 'like']",shame see good actors like thomerson james make living mess like,shame see good actors like thomerson james make living mess like,shame see good actors like thomerson james make living mess like
1357,i thought it was bad  ,0,"['thought', 'bad']",thought bad,thought bad,thought bad
1358,both films are terrible but to the credit of the 1986 version it was watchable  ,0,"['films', 'terrible', 'credit', '1986', 'version', 'watchable']",films terrible credit 1986 version watchable,films terrible credit 1986 version watchable,films terrible credit 1986 version watchable
1359,let's start with all the problemsthe acting especially from the lead professor was very very bad  ,0,"['let', 'start', 'problems', 'acting', 'especially', 'lead', 'professor', 'bad']",let start problems acting especially lead professor bad,let start problems acting especially lead professor bad,let start problems acting especially lead professor bad
1360,the script is a big flawed mess  ,0,"['script', 'big', 'flawed', 'mess']",script big flawed mess,script big flawed mess,script big flawed mess
1361,the best example of how dumb the writing is when it's established that you can turn the zombie-students back into humans by removing a necklace containing a piece of the meteorite  ,0,"['best', 'example', 'dumb', 'writing', 'established', 'turn', 'zombie', 'students', 'back', 'humans', 'removing', 'necklace', 'containing', 'piece', 'meteorite']",best example dumb writing established turn zombie students back humans removing necklace containing piece meteorite,best example dumb writing established turn zombie students back humans removing necklace containing piece meteorite,best example dumb writing established turn zombie students back humans removing necklace containing piece meteorite
1362,director paul matthews who also wrote/directed the weak 1995 monster movie grim clearly doesn't know how to pace his films  ,0,"['director', 'paul', 'matthews', 'also', 'wrote', 'directed', 'weak', '1995', 'monster', 'movie', 'grim', 'clearly', 'know', 'pace', 'films']",director paul matthews also wrote directed weak 1995 monster movie grim clearly know pace films,director paul matthews also wrote directed weak 1995 monster movie grim clearly know pace films,director paul matthews also wrote directed weak 1995 monster movie grim clearly know pace films
1363,the movie is terribly boring in places  ,0,"['movie', 'terribly', 'boring', 'places']",movie terribly boring places,movie terribly boring places,movie terribly boring places
1364,the lighting is awful  ,0,"['lighting', 'awful']",lighting awful,lighting awful,lighting awful
1365,the film looks cheap and bland  ,0,"['film', 'looks', 'cheap', 'bland']",film looks cheap bland,film looks cheap bland,film looks cheap bland
1366,one of the most disappointing aspects is the lack of notable gore  ,0,"['one', 'disappointing', 'aspects', 'lack', 'notable', 'gore']",one disappointing aspects lack notable gore,one disappointing aspects lack notable gore,one disappointing aspects lack notable gore
1367,this convention never worked well in the past and certainly doesn't work here  ,0,"['convention', 'never', 'worked', 'well', 'past', 'certainly', 'work']",convention never worked well past certainly work,convention never worked well past certainly work,convention never worked well past certainly work
1368,the visual effects were awful  ,0,"['visual', 'effects', 'awful']",visual effects awful,visual effects awful,visual effects awful
1369,the cg opening sequence in space looked like it could have been created on microsoft slideshow for god's sake  ,0,"['cg', 'opening', 'sequence', 'space', 'looked', 'like', 'could', 'created', 'microsoft', 'slideshow', 'god', 'sake']",opening sequence space looked like could created microsoft slideshow god sake,opening sequence space looked like could created microsoft slideshow god sake,opening sequence space looked like could created microsoft slideshow god sake
1370,the explosion of the gas tanks at the end was just as awful  ,0,"['explosion', 'gas', 'tanks', 'end', 'awful']",explosion gas tanks end awful,explosion gas tanks end awful,explosion gas tanks end awful
1371,okay i like to consider myself a fair critic so i'll give credit where credit's due--the creature effects were actually pretty cool  ,1,"['okay', 'like', 'consider', 'fair', 'critic', 'give', 'credit', 'credit', 'due', 'creature', 'effects', 'actually', 'pretty', 'cool']",okay like consider fair critic give credit credit due creature effects actually pretty cool,okay like consider fair critic give credit credit due creature effects actually pretty cool,okay like consider fair critic give credit credit due creature effects actually pretty cool
1372,gotta love those close-ups of slimy drooling teeth  ,1,"['gotta', 'love', 'close', 'ups', 'slimy', 'drooling', 'teeth']",gotta love close ups slimy drooling teeth,love close ups slimy drooling teeth,love close ups slimy drooling teeth
1373,to sum the film up breeders is a terrible cheaply made horror movie that should be avoided like the ebola virus  ,0,"['sum', 'film', 'breeders', 'terrible', 'cheaply', 'made', 'horror', 'movie', 'avoided', 'like', 'ebola', 'virus']",sum film breeders terrible cheaply made horror movie avoided like ebola virus,sum film breeders terrible cheaply made horror movie avoided like ebola virus,sum film breeders terrible cheaply made horror movie avoided like ebola virus
1374,not recommended  ,0,['recommended'],recommended,recommended,recommended
1375,he is almost unbearable to watch on screen he has little to no charisma and terrible comedic timing  ,0,"['almost', 'unbearable', 'watch', 'screen', 'little', 'charisma', 'terrible', 'comedic', 'timing']",almost unbearable watch screen little charisma terrible comedic timing,almost unbearable watch screen little charisma terrible comedic timing,almost unbearable watch screen little charisma terrible comedic timing
1376,aside from it's terrible lead this film has loads of other debits  ,0,"['aside', 'terrible', 'lead', 'film', 'loads', 'debits']",aside terrible lead film loads debits,aside terrible lead film loads debits,aside terrible lead film loads debits
1377,i understand that it's supposed to be a cheap popcorn comedy but that doesn't mean that it has to completely insult our intelligence and have writing so incredibly hackneyed that it borders on offensive  ,0,"['understand', 'supposed', 'cheap', 'popcorn', 'comedy', 'mean', 'completely', 'insult', 'intelligence', 'writing', 'incredibly', 'hackneyed', 'borders', 'offensive']",understand supposed cheap popcorn comedy mean completely insult intelligence writing incredibly hackneyed borders offensive,understand supposed cheap popcorn comedy mean completely insult intelligence writing incredibly hackneyed borders offensive,understand supposed cheap popcorn comedy mean completely insult intelligence writing incredibly hackneyed borders offensive
1378,lewis black's considerable talent is wasted here too as he is at his most incendiary when he is unrestrained which the pg-13 rating certainly won't allow  ,0,"['lewis', 'black', 'considerable', 'talent', 'wasted', 'incendiary', 'unrestrained', 'pg', '13', 'rating', 'certainly', 'allow']",lewis black considerable talent wasted incendiary unrestrained rating certainly allow,lewis black considerable talent wasted incendiary unrestrained rating certainly allow,lewis black considerable talent wasted incendiary unrestrained rating certainly allow
1379,the film's sole bright spot was jonah hill (who will look almost unrecognizable to fans of the recent superbad due to the amount of weight he lost in the interim)  ,1,"['film', 'sole', 'bright', 'spot', 'jonah', 'hill', 'look', 'almost', 'unrecognizable', 'fans', 'recent', 'superbad', 'due', 'amount', 'weight', 'lost', 'interim']",film sole bright spot jonah hill look almost unrecognizable fans recent superbad due amount weight lost interim,film sole bright spot jonah hill look almost unrecognizable fans recent superbad due amount weight lost interim,film sole bright spot jonah hill look almost unrecognizable fans recent superbad due amount weight lost interim
1380,with the originality and freshness of the first movie now spent this remake had little else to offer  ,0,"['originality', 'freshness', 'first', 'movie', 'spent', 'remake', 'little', 'else', 'offer']",originality freshness first movie spent remake little else offer,originality freshness first movie spent remake little else offer,originality freshness first movie spent remake little else offer
1381,the budget was evidently very limited  ,0,"['budget', 'evidently', 'limited']",budget evidently limited,budget evidently limited,budget evidently limited
1382,this was reflected not only in the cast but also in the below-par script which borrowed much from the earlier classic  ,0,"['reflected', 'cast', 'also', 'par', 'script', 'borrowed', 'much', 'earlier', 'classic']",reflected cast also par script borrowed much earlier classic,reflected cast also par script borrowed much earlier classic,reflected cast also par script borrowed much earlier classic
1383,however here there was no decent acting action or location work to balance things up  ,0,"['however', 'decent', 'acting', 'action', 'location', 'work', 'balance', 'things']",however decent acting action location work balance things,however decent acting action location work balance things,however decent acting action location work balance things
1384,filmiing was less expansive  ,0,"['filmiing', 'less', 'expansive']",filmiing less expansive,filmiing less expansive,filmiing less expansive
1385,it failed to convey the broad sweep of landscapes that were a great part of the original  ,0,"['failed', 'convey', 'broad', 'sweep', 'landscapes', 'great', 'part', 'original']",failed convey broad sweep landscapes great part original,failed convey broad sweep landscapes great part original,failed convey broad sweep landscapes great part original
1386,generally it just lacked imagination  ,0,"['generally', 'lacked', 'imagination']",generally lacked imagination,generally lacked imagination,generally lacked imagination
1387,not recommended  ,0,['recommended'],recommended,recommended,recommended
1388,is it possible for a movie to get any worse than this  ,0,"['possible', 'movie', 'get', 'worse']",possible movie get worse,possible movie get worse,possible movie get worse
1389,there is no plot here to keep you going in the first place  ,0,"['plot', 'keep', 'going', 'first', 'place']",plot keep going first place,plot keep going first place,plot keep going first place
1390,even when the women finally show up there is no sign of improvement the most expected things happen and by the time the film is over you might be far asleep  ,0,"['even', 'women', 'finally', 'show', 'sign', 'improvement', 'expected', 'things', 'happen', 'time', 'film', 'might', 'far', 'asleep']",even women finally show sign improvement expected things happen time film might far asleep,even women finally show sign improvement expected things happen time film might far asleep,even women finally show sign improvement expected things happen time film might far asleep
1391,beware this is not a trashy cult movie this is trash -period  ,0,"['beware', 'trashy', 'cult', 'movie', 'trash', 'period']",beware trashy cult movie trash period,beware trashy cult movie trash period,beware trashy cult movie trash period
1392,i can't believe there's even a sequel to this  ,0,"['believe', 'even', 'sequel']",believe even sequel,believe even sequel,believe even sequel
1393,which is precisely why i am giving it such a bad review  ,0,"['precisely', 'giving', 'bad', 'review']",precisely giving bad review,precisely giving bad review,precisely giving bad review
1394,being a 90's child i truly enjoyed this show and i can proudly say that i enjoyed it big time and even more than the classical wb cartoons  ,1,"['90', 'child', 'truly', 'enjoyed', 'show', 'proudly', 'say', 'enjoyed', 'big', 'time', 'even', 'classical', 'wb', 'cartoons']",child truly enjoyed show proudly say enjoyed big time even classical cartoons,child truly enjoyed show proudly say enjoyed big time even classical cartoons,child truly enjoyed show proudly say enjoyed big time even classical cartoons
1395,but tiny toons kept the 90's vibe and delivered one of the most popular funny and underrated cartoons ever created  ,1,"['tiny', 'toons', 'kept', '90', 'vibe', 'delivered', 'one', 'popular', 'funny', 'underrated', 'cartoons', 'ever', 'created']",tiny toons kept vibe delivered one popular funny underrated cartoons ever created,tiny toons kept vibe delivered one popular funny underrated cartoons ever created,tiny toons kept vibe delivered one popular funny underrated cartoons ever created
1396,the memories are murky but i can only say that i enjoyed every single episode and product related to the show  ,1,"['memories', 'murky', 'say', 'enjoyed', 'every', 'single', 'episode', 'product', 'related', 'show']",memories murky say enjoyed every single episode product related show,memories murky say enjoyed every single episode product related show,memories murky say enjoyed every single episode product related show
1397,easily none other cartoon made me laugh in a tender way (before getting into dark sitcoms oriented for teenagers)  ,1,"['easily', 'none', 'cartoon', 'made', 'laugh', 'tender', 'way', 'getting', 'dark', 'sitcoms', 'oriented', 'teenagers']",easily none cartoon made laugh tender way getting dark sitcoms oriented teenagers,easily none cartoon made laugh tender way getting dark sitcoms oriented teenagers,easily none cartoon made laugh tender way getting dark sitcoms oriented teenagers
1398,the characters were all funny and had the peculiarity of not having a true lead character  ,1,"['characters', 'funny', 'peculiarity', 'true', 'lead', 'character']",characters funny peculiarity true lead character,characters funny peculiarity true lead character,characters funny peculiarity true lead character
